ts,p_water
200101191900,0.0
200101191930,0.0
200101192000,0.0
200101192030,0.0
200101192100,0.0
200101192130,0.0
200101192200,0.0
200101192230,0.0
200101200000,0.0
200101200030,0.0
200101200100,0.0
200101200130,0.0
200101200230,0.0
200101200300,0.0
200101200330,0.0
200101200400,0.0
200101200430,0.0
200101200500,0.0
200101200530,0.0
200101200600,0.0
200101200630,0.0
200101200700,0.0
200101200800,0.0
200101200830,0.0
200101200900,0.0
200101200930,0.0
200101201000,0.0
200101201030,0.0
200101201100,0.0
200101201130,0.0
200101201200,0.0
200101201230,0.0
200101201300,0.0
200101201330,0.0
200101201400,0.0
200101201430,0.0
200101201500,0.0
200101201530,0.0
200101201600,0.0
200101201630,0.0
200101201700,0.0
200101201730,0.0
200101201800,0.0
200101201830,0.0
200101201900,0.0
200101201930,0.0
200101202000,0.0
200101202030,0.0
200101202100,0.0
200101202130,0.0
200101202200,0.0
200101202230,0.0
200101202300,0.0
200101202330,0.0
200101210000,0.0
200101210030,0.0009233610341643582
200101210130,0.003484320557491289
200101210200,0.030326594090202177
200101210230,0.03715415019762846
200101210300,0.06357142857142857
200101210330,0.058596761757902856
200101210400,0.040955631399317405
200101210430,0.04641638225255973
200101210500,0.05911778080945884
200101210530,0.0514216575922565
200101210600,0.12205270457697642
200101210630,0.09769820971867008
200101210700,0.10251851851851852
200101210730,0.14718430034129693
200101210800,0.16478439425051336
200101210830,0.23809523809523808
200101210900,0.1904427266338721
200101210930,0.22773722627737225
200101211000,0.248039914468995
200101211100,0.13533107781536974
200101211130,0.1254980079681275
200101211200,0.05653862753560639
200101211300,0.00020060180541624874
200101211330,0.0
200101211400,0.0014255167498218105
200101211430,0.003829583532790809
200101211500,0.039512400168137875
200101211530,0.005272407732864675
200101211600,0.0020804438280166435
200101211630,0.0
200101211700,0.0
200101211730,0.0
200101211800,0.0
200101211830,0.0
200101211900,0.0
200101211930,0.0
200101010000,0.0
200101010030,0.0
200101010100,0.0
200101010130,0.0
200101010200,0.0
200101010230,0.0
200101010300,0.0
200101010330,0.0
200101010400,0.0
200101010430,0.0
200101010800,0.0
200101010900,0.0
200101010930,0.0
